"original address",latitude,longitude
"2338 Florin Rd Sacramento,CA",38.495693,-121.48432
"6545 Stockton Blvd Sacramento,CA",38.507443,-121.43374
"7924 Fruitridge Rd Sacramento,CA",38.524715,-121.41064
"5650 Power Inn Rd Sacramento,CA",38.524251,-121.409825
"3841 Snelling Ln Sacramento,CA",38.661572,-121.548771
"7025 Elder Creek Rd Sacramento,CA",38.510818,-121.422139
"1745 Watt Ave Sacramento,CA",38.597355,-121.383526
"6968 65th St Sacramento,CA",38.500567,-121.437889
"3040 Auburn Blvd Sacramento,CA",38.633112,-121.392546
"7601 Amherst St Sacramento,CA",38.481061,-121.500967
"6618 Florin Rd Ste B Sacramento,CA",38.495297,-121.425544
"3841 Snelling Ln Sacramento,CA",38.661572,-121.548771
"7386 Stockton Blvd Sacramento,CA",38.489864,-121.426696
"7454 Stockton Blvd Sacramento,CA",38.486748,-121.425473
"3704 Auburn Blvd Sacramento,CA",38.639024,-121.378142
"3805 Pasadena Ave Sacramento,CA",38.639491,-121.374708
"3625 S Port Dr Sacramento,CA",38.546593,-121.361921
"8484 Florin Rd Ste 70 Sacramento,CA",38.495439,-121.391192
"6660 Valley Hi Dr Sacramento,CA",38.472625,-121.426103
"7500 Elsie Ave Ste 107 Sacramento,CA",38.473816,-121.416158
"7728 Wilbur Way Sacramento,CA",38.477167,-121.398057
"5363 Auburn Blvd Sacramento,CA",38.667775,-121.338974
"2300 Sutterville Rd Ste B Sacramento,CA",38.53888,-121.486705
"3291 Truxel Rd Ste 18 Sacramento,CA",38.626082,-121.499185
"1725 Bell St Sacramento,CA",38.59701,-121.411135
"2338 Florin Rd Sacramento,CA",38.495693,-121.48432
"4445 Auburn Blvd Sacramento,CA",38.648463,-121.360532
"9137 Kiefer Blvd Sacramento,CA",38.548459,-121.360244
"8101 Freeport Blvd Sacramento,CA",38.461862,-121.501657
"7100 Fruitridge Rd Sacramento,CA",38.524496,-121.421053
"5530 Sky Pkwy Sacramento,CA",38.502073,-121.436717
"7223 Florin Mall Dr Sacramento,CA",38.494618,-121.433714
"5810 Folsom Blvd Sacramento,CA",38.557113,-121.436301
"2612 J Street, #1 Sacramento,CA",38.574174,-121.471394
"2531 J St Sacramento,CA",38.574814,-121.471998
"5220 Fruitridge Rd Sacramento,CA",38.524568,-121.445299
"2868 Northgate Blvd Sacramento,CA",38.617169,-121.475207
"4055 McKinley Blvd Sacramento,CA",38.578602,-121.447745
"3431 Watt Ave Sacramento,CA",38.62785,-121.383888
"2330 N St Sacramento,CA",38.570651,-121.476746
"2355 Florin Rd Sacramento,CA",38.497437,-121.483461
"3841 Snelling Ln Sacramento,CA",38.661572,-121.548771
"7386 Stockton Blvd Sacramento,CA",38.489864,-121.426696
"7454 Stockton Blvd Sacramento,CA",38.486748,-121.425473
"3704 Auburn Blvd Sacramento,CA",38.639024,-121.378142
"3805 Pasadena Ave Sacramento,CA",38.639491,-121.374708
"3625 S Port Dr Sacramento,CA",38.546593,-121.361921
